Designator,Footprint,Quantity,Value,LCSC Part #
"C17, C18",0805,2,10u,
"C19, C20, C21, C22, C23, C24, C25, C26, C27, C30",0402,10,100n,
"C28, C29",0402,2,1u,
"C31, C32",0402,2,15p,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D7, D8, D9",Nexperia_CFP3_SOD-123W,61,D,
J2,USB_C_Receptacle_GCT_USB4085,1,USB_C_Receptacle_USB2.0_16P,
"R1, R2",0603,2,5K1,
R10,0402,1,DNF,
"R11, R12",0402,2,1k,
"R8, R9",0402,2,27,
"SW1, SW10, SW11, SW12, SW13, SW16, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW3, SW30, SW31, SW32, SW33, SW34, SW35, SW36, SW37, SW38, SW39, SW4, SW40, SW43, SW44, SW45, SW46, SW47, SW48, SW49, SW5, SW50, SW51, SW52, SW6, SW7, SW8, SW9",SW_Hotswap_Kailh_MX_Plated_1.00u,46,SW_Push,
SW14,SW_Hotswap_Kailh_MX_Plated_2.00u,1,SW_Push,
"SW15, SW28",SW_Hotswap_Kailh_MX_Plated_1.50u,2,SW_Push,
SW29,SW_Hotswap_Kailh_MX_Plated_1.75u,1,SW_Push,
"SW41, SW42",SW_Hotswap_Kailh_MX_Plated_2.25u,2,SW_Push,
SW53,SW_Hotswap_Kailh_MX_Plated_2.75u,1,SW_Push,
"SW54, SW55, SW56, SW58, SW59, SW60, SW61",SW_Hotswap_Kailh_MX_Plated_1.25u,7,SW_Push,
SW57,SW_Hotswap_Kailh_MX_Plated_6.25u,1,SW_Push,
SW62,SW_SPST_SKQG_WithoutStem,1,SW_SPST,
U4,SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,
U5,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,
U6,RP2040-QFN-56,1,RP2040,
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ABM8-272-T3,
