Designator,Mid X,Mid Y,Rotation,Layer
C17,135.028125,-176.103125,270.0,bottom
C18,150.028125,-178.353125,270.0,bottom
C19,223.028125,-183.853125,270.0,bottom
C20,226.028125,-171.853125,90.0,bottom
C21,230.298125,-180.353125,180.0,bottom
C22,218.328125,-173.703125,0.0,bottom
C23,225.028125,-171.853125,90.0,bottom
C24,224.028125,-183.833125,270.0,bottom
C25,230.298125,-176.853125,180.0,bottom
C26,230.298125,-181.353125,180.0,bottom
C27,219.728125,-184.103125,270.0,bottom
C28,227.028125,-183.853125,270.0,bottom
C29,228.028125,-183.853125,270.0,bottom
C30,169.778125,-175.603125,0.0,bottom
C31,212.778125,-180.833125,270.0,bottom
C32,210.528125,-174.123125,90.0,bottom
D1,70.246875,-108.346875,90.0,bottom
D10,241.696875,-108.346875,90.0,bottom
D11,260.746875,-108.346875,90.0,bottom
D12,279.796875,-108.346875,90.0,bottom
D13,298.846875,-108.346875,90.0,bottom
D14,327.421875,-108.346875,90.0,bottom
D15,75.009375,-127.396875,90.0,bottom
D16,98.821875,-127.396875,90.0,bottom
D17,117.871875,-127.396875,90.0,bottom
D18,136.921875,-127.396875,90.0,bottom
D19,155.971875,-127.396875,90.0,bottom
D2,89.296875,-108.346875,90.0,bottom
D20,175.021875,-127.396875,90.0,bottom
D21,194.071875,-127.396875,90.0,bottom
D22,213.121875,-127.396875,90.0,bottom
D23,232.171875,-127.396875,90.0,bottom
D24,251.221875,-127.396875,90.0,bottom
D25,270.271875,-127.396875,90.0,bottom
D26,289.321875,-127.396875,90.0,bottom
D27,308.371875,-127.396875,90.0,bottom
D28,332.184375,-127.396875,90.0,bottom
D29,77.390625,-146.446875,90.0,bottom
D3,108.346875,-108.346875,90.0,bottom
D30,103.584375,-146.446875,90.0,bottom
D31,122.634375,-146.446875,90.0,bottom
D32,141.684375,-146.446875,90.0,bottom
D33,160.734375,-146.446875,90.0,bottom
D34,179.784375,-146.446875,90.0,bottom
D35,198.834375,-146.446875,90.0,bottom
D36,217.884375,-146.446875,90.0,bottom
D37,236.934375,-146.446875,90.0,bottom
D38,255.984375,-146.446875,90.0,bottom
D39,275.034375,-146.446875,90.0,bottom
D4,127.396875,-108.346875,90.0,bottom
D40,294.084375,-146.446875,90.0,bottom
D41,325.040625,-146.446875,90.0,bottom
D42,82.153125,-165.496875,90.0,bottom
D43,113.109375,-165.496875,90.0,bottom
D44,132.159375,-165.496875,90.0,bottom
D45,151.209375,-165.496875,90.0,bottom
D46,170.259375,-165.496875,90.0,bottom
D47,189.309375,-165.496875,90.0,bottom
D48,208.359375,-165.496875,90.0,bottom
D49,227.409375,-165.496875,90.0,bottom
D5,146.446875,-108.346875,90.0,bottom
